date,province,total_confirmed,total_released,total_deceased
2020-06-20,Gangwon-do,60,52,3
2020-06-20,Gyeongsangbuk-do,1384,1319,54
2020-06-21,Incheon,328,167,1
2020-06-21,Jeollanam-do,20,18,0
2020-06-21,Sejong,49,47,0
2020-06-22,Chungcheongbuk-do,61,56,0
2020-06-22,Chungcheongnam-do,161,144,0
2020-06-22,Gyeongsangbuk-do,1385,1320,54
2020-06-22,Gyeongsangnam-do,133,124,0
2020-06-22,Seoul,1224,733,6
2020-06-22,Ulsan,53,48,1
2020-06-23,Daejeon,86,44,1
2020-06-23,Gangwon-do,62,52,3
2020-06-23,Jeollabuk-do,24,20,0
2020-06-23,Jeollanam-do,20,18,0
2020-06-24,Busan,152,142,3
2020-06-24,Daejeon,94,44,1
2020-06-24,Jeju-do,19,15,0
2020-06-24,Jeollabuk-do,25,20,0
2020-06-24,Seoul,1241,747,6
2020-06-25,Daejeon,98,44,1
2020-06-25,Gangwon-do,63,52,3
2020-06-25,Gyeongsangnam-do,133,125,0
2020-06-25,Jeju-do,19,16,0
2020-06-25,Ulsan,55,48,1
2020-06-26,Chungcheongbuk-do,62,60,0
2020-06-26,Incheon,336,231,1
2020-06-26,Sejong,49,47,0
2020-06-26,Ulsan,55,49,1
2020-06-27,Chungcheongbuk-do,63,60,0
2020-06-27,Gwangju,33,32,0
2020-06-27,Gyeonggi-do,1167,858,22
2020-06-27,Gyeongsangnam-do,133,128,0
2020-06-27,Jeju-do,19,16,0
2020-06-28,Daegu,6904,6700,189
2020-06-28,Gyeonggi-do,1184,873,23
2020-06-29,Chungcheongbuk-do,64,60,0
2020-06-29,Chungcheongnam-do,167,150,0
2020-06-29,Gwangju,41,32,0
2020-06-29,Gyeongsangnam-do,134,128,0
2020-06-29,Seoul,1305,942,7
2020-06-30,Gyeongsangnam-do,134,128,0
2020-06-30,Jeollabuk-do,27,21,0
2020-06-30,Ulsan,55,50,1
