,human_development_index,weekly_hosp_admissions,tests_per_case,new_cases,total_deaths,new_vaccinations_smoothed_per_million,new_deaths_smoothed_per_million,population,total_vaccinations,total_cases,new_tests,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,extreme_poverty,positive_rate,total_boosters_per_hundred,handwashing_facilities,new_vaccinations_smoothed,new_cases_per_million,total_boosters,aged_70_older,new_vaccinations,hospital_beds_per_thousand,new_cases_smoothed_per_million,total_vaccinations_per_hundred,new_deaths_smoothed,new_tests_per_thousand,last_updated_date,new_tests_smoothed,people_vaccinated,people_fully_vaccinated,new_people_vaccinated_smoothed_per_hundred,diabetes_prevalence,total_tests,total_deaths_per_million,new_people_vaccinated_smoothed,continent,excess_mortality,excess_mortality_cumulative,cardiovasc_death_rate,total_cases_per_million,stringency_index,new_deaths,icu_patients,tests_units,gdp_per_capita,total_tests_per_thousand,aged_65_older,excess_mortality_cumulative_absolute,weekly_hosp_admissions_per_million,life_expectancy,new_cases_smoothed,new_deaths_per_million,female_smokers,hosp_patients,male_smokers,population_density,icu_patients_per_million,location,new_tests_smoothed_per_thousand,hosp_patients_per_million,excess_mortality_cumulative_per_million,weekly_icu_admissions,reproduction_rate,median_age,people_fully_vaccinated_per_hundred
SLB,0.567,,,0.0,199.0,,0.0,724272.0,,25954.0,,,,25.1,,,35.89,,0.0,,2.043,,1.4,0.0,,0.0,,2024-08-04,,,,,18.68,,254.777,,Oceania,,,459.78,33228.562,,0.0,,,2205.923,,3.507,,,73.0,0.0,0.0,,,,21.841,,Solomon Islands,,,,,,20.8,
SOM,,,,0.0,1361.0,,0.0,17597508.0,,27334.0,,,,,,,9.831,,0.0,,1.496,,0.9,0.0,,0.0,,2024-08-04,,,,,6.05,,76.453,,Africa,,,365.769,1535.455,,0.0,,,,,2.731,,,57.4,0.0,0.0,,,,23.5,,Somalia,,,,,,16.8,
ZAF,0.709,,,0.0,102595.0,,0.0,59893884.0,,4072765.0,,,,18.9,,,43.993,,0.0,,3.053,,2.32,0.0,,0.0,,2024-08-04,,,,,5.52,,1644.72,,Africa,,,200.38,65291.246,,0.0,,,12294.876,,5.344,,,64.13,0.0,0.0,8.1,,33.2,46.754,,South Africa,,,,,,27.3,
OWID_SAM,,,,1308.0,1354187.0,,0.0,436816679.0,,68809418.0,,,,,,,,,3.038,,,,,0.434,,0.143,,2024-08-04,,,,,,,3145.667,,,,,,159838.72,,1.0,,,,,,,,,186.857,0.002,,,,,,South America,,,,,,,
KOR,0.916,,,0.0,35934.0,,0.0,51815808.0,,34571873.0,,,,0.2,,,,,0.0,,8.622,,12.27,0.0,,0.0,,2024-08-04,,,,,6.8,,693.941,,Asia,,,85.998,667636.06,,0.0,,,35938.374,,13.914,,,83.03,0.0,0.0,6.2,,40.9,527.967,,South Korea,,,,,,43.4,
SSD,0.433,,,0.0,147.0,,0.0,10913172.0,,18823.0,,,,,,,,,0.0,,2.032,,,0.0,,0.0,,2024-08-04,,,,,10.43,,13.338,,Africa,,,280.775,1707.894,,0.0,,,1569.888,,3.441,,,57.85,0.0,0.0,,,,,,South Sudan,,,,,,19.2,
ESP,0.904,,,,121852.0,,,47558632.0,,13980340.0,,,,1.0,,,,,,,13.799,,2.97,,,,,2024-08-04,,,,,7.17,,2547.692,,Europe,,,99.403,292302.16,,,,,34272.36,,19.436,,,83.56,,,27.4,,31.4,93.105,,Spain,,,,,,45.5,
LKA,0.782,,,1.0,16907.0,,0.0,21832150.0,,672798.0,,,,0.7,,,,,0.044,,5.331,,3.6,0.006,,0.0,,2024-08-04,,,,,10.68,,740.4,,Asia,,,197.093,29463.502,,0.0,,,11669.077,,10.069,,,76.98,0.143,0.0,0.3,,27.0,341.955,,Sri Lanka,,,,,,34.1,
SDN,0.51,,,0.0,5046.0,,0.0,46874200.0,,63993.0,,,,,,,23.437,,0.0,,2.034,,0.8,0.0,,0.0,,2024-08-04,,,,,15.67,,102.18,,Africa,,,431.388,1295.842,,0.0,,,4466.507,,3.548,,,65.31,0.0,0.0,,,,23.258,,Sudan,,,,,,19.7,
SUR,0.738,,,0.0,1406.0,,0.0,618046.0,,82501.0,,,,,,,67.779,,0.0,,4.229,,3.1,0.0,,0.0,,2024-08-04,,,,,12.54,,2256.195,,South America,,,258.314,132388.6,,0.0,,,13767.119,,6.933,,,71.68,0.0,0.0,7.4,,42.9,3.612,,Suriname,,,,,,29.6,
SWE,0.945,,,630.0,27399.0,,0.381,10549349.0,,2755181.0,,,,0.5,,,,,60.072,,13.433,,2.22,8.582,,4.0,,2024-08-04,,,,,4.79,,2612.58,,Europe,,,133.982,262715.12,,28.0,,,46949.283,,19.985,,,82.8,90.0,2.67,18.8,,18.9,24.718,,Sweden,,,,,,41.0,
CHE,0.955,,,426.0,14170.0,,0.0,8740471.0,,4457868.0,,,,,,,,,48.452,,12.644,,4.53,6.922,,0.0,,2024-08-04,,,,,5.59,,1611.659,,Europe,,,99.739,507026.47,,0.0,,,57410.166,,18.436,,,83.78,60.857,0.0,22.6,,28.9,214.243,,Switzerland,,,,,,43.1,
SYR,0.567,,,0.0,3163.0,,0.0,22125242.0,,57423.0,,,,,,,70.598,,0.0,,2.577,,1.5,0.0,,0.0,,2024-08-04,,,,,,,140.815,,Asia,,,376.264,2556.432,,0.0,,,,,,,,72.7,0.0,0.0,,,,,,Syria,,,,,,21.7,
TJK,0.668,,,0.0,125.0,,0.0,9952789.0,,17786.0,,,,4.8,,,72.704,,0.0,,2.155,,4.8,0.0,,0.0,,2024-08-04,,,,,7.11,,12.276,,Asia,,,427.698,1746.769,,0.0,,,2896.913,,3.466,,,71.1,0.0,0.0,,,,64.281,,Tajikistan,,,,,,23.3,
TZA,0.529,,,0.0,846.0,,0.0,65497752.0,,43230.0,,,,49.1,,,47.953,,0.0,,1.874,,0.7,0.0,,0.0,,2024-08-04,,,,,5.75,,13.073,,Africa,,,217.288,668.039,,0.0,,,2683.304,,3.108,,,65.46,0.0,0.0,3.3,,26.7,64.699,,Tanzania,,,,,,17.7,
THA,0.777,,,560.0,34715.0,,0.002,71697024.0,,4799180.0,,,,0.1,,,90.67,,7.806,,6.89,,2.1,1.115,,0.143,,2024-08-04,,,,,7.04,,483.932,,Asia,,,109.861,66901.21,,1.0,,,16277.671,,11.373,,,77.15,80.0,0.014,1.9,,38.8,135.132,,Thailand,,,,,,40.1,
TGO,0.515,,,0.0,290.0,,0.0,8848700.0,,39530.0,,,,49.2,,,10.475,,0.0,,1.525,,0.7,0.0,,0.0,,2024-08-04,,,,,6.15,,31.904,,Africa,,,280.033,4348.858,,0.0,,,1429.813,,2.839,,,61.04,0.0,0.0,0.9,,14.2,143.366,,Togo,,,,,,19.4,
TKL,,,,0.0,0.0,,0.0,1893.0,,80.0,,,,,,,,,0.0,,,,,0.0,,0.0,,2024-08-04,,,,,,,0.0,,Oceania,,,,34602.074,,0.0,,,,,,,,81.86,0.0,0.0,,,,,,Tokelau,,,,,,,
TON,0.725,,,0.0,12.0,,0.0,106867.0,,16976.0,,,,,,,,,0.0,,4.032,,2.6,0.0,,0.0,,2024-08-04,,,,,15.42,,114.228,,Oceania,,,227.49,161594.62,,0.0,,,5425.621,,5.82,,,70.91,0.0,0.0,11.8,,44.4,150.028,,Tonga,,,,,,22.3,
TTO,0.796,,,0.0,4390.0,,0.0,1531043.0,,191496.0,,,,,,,89.443,,0.0,,5.819,,3.0,0.0,,0.0,,2024-08-04,,,,,10.97,,2934.645,,North America,,,228.467,128012.02,,0.0,,,28763.071,,10.014,,,73.51,0.0,0.0,,,,266.886,,Trinidad and Tobago,,,,,,36.2,
TUN,0.74,,,0.0,29423.0,,0.0,12356116.0,,1153361.0,,,,2.0,,,78.687,,0.0,,5.075,,2.3,0.0,,0.0,,2024-08-04,,,,,8.52,,2427.773,,Africa,,,318.991,95167.016,,0.0,,,10849.297,,8.001,,,76.7,0.0,0.0,1.1,,65.8,74.228,,Tunisia,,,,,,32.7,
TUR,0.82,,,0.0,101419.0,,0.0,85341248.0,,17004718.0,,,,0.2,,,,,0.0,,5.061,,2.81,0.0,,0.0,,2024-08-04,,,,,12.13,,1164.953,,Asia,,,171.285,195325.25,,0.0,,,25129.341,,8.153,,,77.69,0.0,0.0,14.1,,41.1,104.914,,Turkey,,,,,,31.6,
TKM,0.715,,,0.0,0.0,,0.0,6430777.0,,0.0,,,,,,,100.0,,0.0,,2.541,,7.4,0.0,,0.0,,2024-08-04,,,,,7.11,,0.0,,Asia,,,536.783,0.0,,0.0,,,16389.023,,4.277,,,68.19,0.0,0.0,,,,12.253,,Turkmenistan,,,,,,26.9,
TCA,,,,0.0,40.0,,0.0,45726.0,,6805.0,,,,,,,,,0.0,,,,,0.0,,0.0,,2024-08-04,,,,,,,872.049,,North America,,,,148357.28,,0.0,,,,,,,,80.22,0.0,0.0,,,,37.312,,Turks and Caicos Islands,,,,,,,
TUV,,,,0.0,1.0,,0.0,11335.0,,2943.0,,,,3.3,,,,,0.0,,,,,0.0,,0.0,,2024-08-04,,,,,27.25,,99.88,,Oceania,,,,293947.25,,0.0,,,3575.104,,,,,67.57,0.0,0.0,,,,373.067,,Tuvalu,,,,,,,
UGA,0.544,,,0.0,3632.0,,0.0,47249588.0,,172154.0,,,,41.6,,,21.222,,0.0,,1.308,,0.5,0.0,,0.0,,2024-08-04,,,,,2.5,,76.766,,Africa,,,213.333,3638.641,,0.0,,,1697.707,,2.168,,,63.37,0.0,0.0,3.4,,16.7,213.759,,Uganda,,,,,,16.4,
UKR,0.779,,,171.0,109920.0,,0.0,39701744.0,,5532777.0,,,,0.1,,,,,4.166,,11.133,,8.8,0.595,,0.0,,2024-08-04,,,,,7.11,,2677.79,,Europe,,,539.849,134785.47,,0.0,,,7894.393,,16.462,,,72.06,24.429,0.0,13.5,,47.4,77.39,,Ukraine,,,,,,41.4,
ARE,0.89,,,0.0,2349.0,,0.0,9441138.0,,1067030.0,,,,,,,,,0.0,,0.526,,1.2,0.0,,0.0,,2024-08-04,,,,,17.26,,229.348,,Asia,,,317.84,104180.94,,0.0,,,67293.483,,1.144,,,77.97,0.0,0.0,1.2,,37.4,112.442,,United Arab Emirates,,,,,,34.0,
GBR,0.932,,,3400.0,232112.0,,0.0,67508936.0,,24974629.0,,,,0.2,,,,,49.868,,12.527,,2.54,7.124,,0.0,,2024-08-04,,,,,4.28,,3404.434,,Europe,,,122.137,366308.0,,0.0,,,39753.244,,18.517,,,81.32,485.714,0.0,20.0,,24.7,272.898,,United Kingdom,,,,,,40.8,
USA,0.926,,,,1193165.0,,0.259,338289856.0,,103436829.0,,,,1.2,,,,,,,9.732,,2.77,,,88.429,,2024-08-04,,,,,10.79,,3493.546,,North America,,,151.089,302859.5,,619.0,,,54225.446,,15.413,,,78.86,,1.812,19.1,,24.6,35.608,,United States,,,,,,38.3,
VIR,,,,0.0,132.0,,0.0,99479.0,,25389.0,,,,,,,,,0.0,,10.799,,,0.0,,0.0,,2024-08-04,,,,,12.26,,1525.641,,North America,,,273.67,293443.22,,0.0,,,,,18.601,,,80.58,0.0,0.0,,,,306.48,,United States Virgin Islands,,,,,,42.2,
OWID_UMC,,,,14277.0,2824452.0,0.0,0.001,2525921300.0,5449980941.0,251753518.0,,,83.49,,,50.12,,14.0,5.039,1265984687.0,,21.0,,0.72,215.76,4.143,,2024-08-14,,2109015426.0,1990653301.0,0.0,,,996.892,2.0,,,,,88856.516,,29.0,,,,,,,,,2039.571,0.01,,,,,,Upper-middle-income countries,,,,,,,78.81
URY,0.817,,,15.0,7682.0,,0.0,3422796.0,,1041346.0,,,,0.1,,,,,4.424,,10.361,,2.8,0.632,,0.0,,2024-08-04,,,,,6.93,,2265.466,,South America,,,160.708,307099.0,,0.0,,,20551.409,,14.655,,,77.91,2.143,0.0,14.0,,19.9,19.751,,Uruguay,,,,,,35.6,
UZB,0.72,,,0.0,1016.0,,0.0,34627648.0,,175081.0,,,,,,,,,0.0,,2.873,,4.0,0.0,,0.0,,2024-08-04,,,,,7.57,,29.079,,Asia,,,724.417,5011.054,,0.0,,,6253.104,,4.469,,,71.72,0.0,0.0,1.3,,24.7,76.134,,Uzbekistan,,,,,,28.2,
VUT,0.609,,,0.0,14.0,,0.0,326744.0,,12019.0,,,,13.2,,,25.209,,0.0,,2.62,,,0.0,,0.0,,2024-08-04,,,,,12.02,,44.72,,Oceania,,,546.3,38391.758,,0.0,,,2921.909,,4.394,,,70.47,0.0,0.0,2.8,,34.5,22.662,,Vanuatu,,,,,,23.1,
VAT,,,,0.0,0.0,,0.0,808.0,,26.0,,,,,,,,,0.0,,,,,0.0,,0.0,,2024-08-04,,,,,,,0.0,,Europe,,,,50682.26,,0.0,,,,,,,,75.12,0.0,0.0,,,,,,Vatican,,,,,,,
VEN,0.711,,,0.0,5856.0,,0.0,28301700.0,,552695.0,,,,,,,,,0.0,,3.915,,0.8,0.0,,0.0,,2024-08-04,,,,,6.47,,207.564,,South America,,,204.85,19590.072,,0.0,,,16745.022,,6.614,,,72.06,0.0,0.0,,,,36.253,,Venezuela,,,,,,29.0,
VNM,0.704,,,0.0,43206.0,,0.0,98186856.0,,11624000.0,,,,2.0,,,85.847,,0.0,,4.718,,2.6,0.0,,0.0,,2024-08-04,,,,,6.0,,433.444,,Asia,,,245.465,116612.4,,0.0,,,6171.884,,7.15,,,75.4,0.0,0.0,1.0,,45.9,308.127,,Vietnam,,,,,,32.6,
WLF,,,,0.0,9.0,,0.0,11596.0,,3760.0,,,,,,,,,0.0,,,,,0.0,,0.0,,2024-08-04,,,,,,,782.541,,Oceania,,,,326928.1,,0.0,,,,,,,,79.94,0.0,0.0,,,,,,Wallis and Futuna,,,,,,,
OWID_WRL,0.737,,,47169.0,7057132.0,0.0,0.015,7975105024.0,13578774356.0,775866783.0,,,70.61,10.0,,35.33,60.13,1340.0,5.904,2817381093.0,5.355,1452.0,2.705,0.843,170.26,116.429,,2024-08-14,,5631263739.0,5177942957.0,0.0,8.51,,883.329,12.0,,,,233.07,97113.85,,815.0,,,15469.207,,8.696,,,72.58,6738.429,0.102,6.434,,34.635,58.045,,World,,,,,,30.9,64.93
YEM,0.47,,,0.0,2159.0,,0.0,33696612.0,,11945.0,,,,18.8,,,49.542,,0.0,,1.583,,0.7,0.0,,0.0,,2024-08-04,,,,,5.35,,56.484,,Asia,,,495.003,312.509,,0.0,,,1479.147,,2.922,,,66.12,0.0,0.0,7.6,,29.2,53.508,,Yemen,,,,,,20.3,
ZMB,0.584,,,18.0,4077.0,,0.0,20017670.0,,349842.0,,,,57.5,,,13.938,,0.893,,1.542,,2.0,0.128,,0.0,,2024-08-04,,,,,3.94,,202.303,,Africa,,,234.499,17359.357,,0.0,,,3689.251,,2.48,,,63.89,2.571,0.0,3.1,,24.7,22.995,,Zambia,,,,,,17.7,
ZWE,0.571,,,0.0,5740.0,,0.0,16320539.0,,266386.0,,,,21.4,,,36.791,,0.0,,1.882,,1.7,0.0,,0.0,,2024-08-04,,,,,1.82,,357.208,,Africa,,,307.846,16577.57,,0.0,,,1899.775,,2.822,,,61.49,0.0,0.0,1.6,,30.7,42.729,,Zimbabwe,,,,,,19.6,
